"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "TOML", "JavaScript", "HTML", "JSON", "PostCSS", "SCSS", "XML", "vue", "YAML", "comment", "blank", "total"
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\EditorLayout\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 7, 24
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\JSONEditor\JSONEditor.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 1, 7, 53
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\JSONEditor\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\NexonScriptEditor\NexonScriptEditor.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 1, 7, 54
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\NexonScriptEditor\NexonScriptEditorToolbar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\NexonScriptEditor\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\ResourceExplorer\AssetPreviewer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\ResourceExplorer\FileItem.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 12, 80
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\ResourceExplorer\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 13, 118
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\SpineViewer.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 16, 120
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\TheCounter.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\components\TheFooter.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 8, 45
